danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track.name,artist.name,track.popularity,year
0.448,0.424,9,-9.885,1,0.0284,0.371,0.0193,0.0712,0.062,124.968,audio_features,19KAYSkEOyQbJ4EQN1y12w,spotify:track:19KAYSkEOyQbJ4EQN1y12w,https://api.spotify.com/v1/tracks/19KAYSkEOyQbJ4EQN1y12w,https://api.spotify.com/v1/audio-analysis/19KAYSkEOyQbJ4EQN1y12w,261192,4,Everything,Yinyues,0,2016
0.679,0.908,8,-3.411,1,0.202,0.234,0,0.0821,0.687,85.918,audio_features,4SE4yewyGpOYfxfx59Yjc5,spotify:track:4SE4yewyGpOYfxfx59Yjc5,https://api.spotify.com/v1/tracks/4SE4yewyGpOYfxfx59Yjc5,https://api.spotify.com/v1/audio-analysis/4SE4yewyGpOYfxfx59Yjc5,279013,4,Cinderella Man,Eminem,71,2016
0.505,0.662,0,-5.335,1,0.0258,0.0213,0,0.0737,0.242,86.022,audio_features,3jteX7TMc7cPzIUCxHjqHe,spotify:track:3jteX7TMc7cPzIUCxHjqHe,https://api.spotify.com/v1/tracks/3jteX7TMc7cPzIUCxHjqHe,https://api.spotify.com/v1/audio-analysis/3jteX7TMc7cPzIUCxHjqHe,273013,4,We Don't Know,The Strumbellas,0,2016
0.475,0.432,7,-7.844,1,0.0302,0.183,0,0.161,0.648,94.605,audio_features,6ORqU0bHbVCRjXm9AjyHyZ,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,https://api.spotify.com/v1/tracks/6ORqU0bHbVCRjXm9AjyHyZ,https://api.spotify.com/v1/audio-analysis/6ORqU0bHbVCRjXm9AjyHyZ,153467,4,Good Riddance (Time of Your Life),Green Day,76,2016
0.435,0.456,6,-10.305,1,0.0279,0.136,1.62e-6,0.124,0.529,107.529,audio_features,2LkaNhCrNVmcYgXJeLVmsw,spotify:track:2LkaNhCrNVmcYgXJeLVmsw,https://api.spotify.com/v1/tracks/2LkaNhCrNVmcYgXJeLVmsw,https://api.spotify.com/v1/audio-analysis/2LkaNhCrNVmcYgXJeLVmsw,185440,4,The Sound of Silence,Simon & Garfunkel,1,2016
0.448,0.52,10,-8.283,0,0.17,0.489,0,0.2,0.57,114.859,audio_features,04KMInAuiWDbgoI4AcUyrr,spotify:track:04KMInAuiWDbgoI4AcUyrr,https://api.spotify.com/v1/tracks/04KMInAuiWDbgoI4AcUyrr,https://api.spotify.com/v1/audio-analysis/04KMInAuiWDbgoI4AcUyrr,257773,4,I Do,Musiq Soulchild,0,2016
0.654,0.753,11,-7.556,0,0.395,0.303,8.08e-5,0.13,0.371,110.722,audio_features,3q2v8QaTnHLveAQzR6gvYm,spotify:track:3q2v8QaTnHLveAQzR6gvYm,https://api.spotify.com/v1/tracks/3q2v8QaTnHLveAQzR6gvYm,https://api.spotify.com/v1/audio-analysis/3q2v8QaTnHLveAQzR6gvYm,723573,5,"Sing About Me, I'm Dying Of Thirst",Kendrick Lamar,61,2016
0.0876,0.0865,10,-20.431,0,0.0457,0.912,0.896,0.0906,0.0298,86.437,audio_features,7nHvS6UUhz2gJhj8TIROLX,spotify:track:7nHvS6UUhz2gJhj8TIROLX,https://api.spotify.com/v1/tracks/7nHvS6UUhz2gJhj8TIROLX,https://api.spotify.com/v1/audio-analysis/7nHvS6UUhz2gJhj8TIROLX,596227,4,"Adagio for Strings, Op. 11",Samuel Barber,50,2016
0.699,0.882,4,-3.896,0,0.0311,0.00296,0.0544,0.13,0.657,120.016,audio_features,6jg5SRvdGxvJ0DzNV0UqEK,spotify:track:6jg5SRvdGxvJ0DzNV0UqEK,https://api.spotify.com/v1/tracks/6jg5SRvdGxvJ0DzNV0UqEK,https://api.spotify.com/v1/audio-analysis/6jg5SRvdGxvJ0DzNV0UqEK,196813,4,Please Don't Go,Mike Posner,61,2016
0.693,0.899,0,-4.084,1,0.259,0.0197,0,0.0594,0.319,86.048,audio_features,0ZqWBTU1EkdVPAMwQgfKiv,spotify:track:0ZqWBTU1EkdVPAMwQgfKiv,https://api.spotify.com/v1/tracks/0ZqWBTU1EkdVPAMwQgfKiv,https://api.spotify.com/v1/audio-analysis/0ZqWBTU1EkdVPAMwQgfKiv,298893,4,Going Through Changes,Eminem,59,2016
0.417,0.163,5,-14.445,1,0.0369,0.676,2.11e-4,0.112,0.216,122.61,audio_features,0FzGKD3N0jK6nNOyOJBvNG,spotify:track:0FzGKD3N0jK6nNOyOJBvNG,https://api.spotify.com/v1/tracks/0FzGKD3N0jK6nNOyOJBvNG,https://api.spotify.com/v1/audio-analysis/0FzGKD3N0jK6nNOyOJBvNG,226757,4,While My Guitar Gently Weeps,The Beatles,49,2016
0.687,0.646,1,-13.639,1,0.0462,0.421,0.41,0.362,0.571,113.989,audio_features,2VhKDAZzcjKZE7BxI9uplq,spotify:track:2VhKDAZzcjKZE7BxI9uplq,https://api.spotify.com/v1/tracks/2VhKDAZzcjKZE7BxI9uplq,https://api.spotify.com/v1/audio-analysis/2VhKDAZzcjKZE7BxI9uplq,296227,4,Breathe,Télépopmusik,0,2016
0.761,0.847,7,-3.068,1,0.0417,0.0292,2.26e-6,0.39,0.765,91.519,audio_features,3djNBlI7xOggg7pnsOLaNm,spotify:track:3djNBlI7xOggg7pnsOLaNm,https://api.spotify.com/v1/tracks/3djNBlI7xOggg7pnsOLaNm,https://api.spotify.com/v1/audio-analysis/3djNBlI7xOggg7pnsOLaNm,284480,4,California Love - Original Version,2Pac,66,2016
0.669,0.63,5,-4.064,0,0.0396,0.509,0,0.105,0.576,133.933,audio_features,7yWt0Rx4CKr8et3iQ8Dyv7,spotify:track:7yWt0Rx4CKr8et3iQ8Dyv7,https://api.spotify.com/v1/tracks/7yWt0Rx4CKr8et3iQ8Dyv7,https://api.spotify.com/v1/audio-analysis/7yWt0Rx4CKr8et3iQ8Dyv7,264760,4,I Remember,AlunaGeorge,0,2016
0.607,0.878,4,-4.422,1,0.0665,2.46e-4,0,0.337,0.853,119.955,audio_features,4UuHWIkAWnN176A2rx7YFB,spotify:track:4UuHWIkAWnN176A2rx7YFB,https://api.spotify.com/v1/tracks/4UuHWIkAWnN176A2rx7YFB,https://api.spotify.com/v1/audio-analysis/4UuHWIkAWnN176A2rx7YFB,193000,4,1985,Bowling For Soup,61,2016
0.692,0.744,2,-4.565,1,0.257,0.00868,4.23e-4,0.359,0.0612,171.374,audio_features,5Z01UMMf7V1o0MzF86s6WJ,spotify:track:5Z01UMMf7V1o0MzF86s6WJ,https://api.spotify.com/v1/tracks/5Z01UMMf7V1o0MzF86s6WJ,https://api.spotify.com/v1/audio-analysis/5Z01UMMf7V1o0MzF86s6WJ,326467,4,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,77,2016
0.697,0.56,5,-6.307,0,0.0414,0.515,1.35e-4,0.143,0.0994,112.061,audio_features,20nUYE2mj6TGWK6MAoHaZR,spotify:track:20nUYE2mj6TGWK6MAoHaZR,https://api.spotify.com/v1/tracks/20nUYE2mj6TGWK6MAoHaZR,https://api.spotify.com/v1/audio-analysis/20nUYE2mj6TGWK6MAoHaZR,171560,4,Kiss Me,Rebel,41,2016
0.729,0.546,7,-9.305,1,0.0285,0.547,0.00287,0.0651,0.406,119.941,audio_features,0j2WBxWZnWti5TpSxjJvPb,spotify:track:0j2WBxWZnWti5TpSxjJvPb,https://api.spotify.com/v1/tracks/0j2WBxWZnWti5TpSxjJvPb,https://api.spotify.com/v1/audio-analysis/0j2WBxWZnWti5TpSxjJvPb,212627,4,Love on the Weekend,John Mayer,65,2016
0.635,0.351,3,-14.732,1,0.258,0.634,0.00407,0.125,0.0509,84.971,audio_features,3E1DMM5J1PZxagCy6LoIpO,spotify:track:3E1DMM5J1PZxagCy6LoIpO,https://api.spotify.com/v1/tracks/3E1DMM5J1PZxagCy6LoIpO,https://api.spotify.com/v1/audio-analysis/3E1DMM5J1PZxagCy6LoIpO,197787,4,Down,Marian Hill,0,2016
0.647,0.81,5,-5.963,1,0.0421,0.0045,6.93e-5,0.336,0.449,119.929,audio_features,3rvtRXFWpmXJofk5i7Y1Ft,spotify:track:3rvtRXFWpmXJofk5i7Y1Ft,https://api.spotify.com/v1/tracks/3rvtRXFWpmXJofk5i7Y1Ft,https://api.spotify.com/v1/audio-analysis/3rvtRXFWpmXJofk5i7Y1Ft,232107,4,Gun,CHVRCHES,0,2016
0.612,0.276,7,-11.932,1,0.0358,0.898,0.864,0.0867,0.206,98.61,audio_features,7ofZgS5xDW0XodfjaXWvZG,spotify:track:7ofZgS5xDW0XodfjaXWvZG,https://api.spotify.com/v1/tracks/7ofZgS5xDW0XodfjaXWvZG,https://api.spotify.com/v1/audio-analysis/7ofZgS5xDW0XodfjaXWvZG,356160,4,Upward Over The Mountain,Iron & Wine,0,2016
0.548,0.475,1,-12.42,1,0.0355,0.615,0.808,0.0944,0.0349,126.974,audio_features,4GKk1uNzpxIptBuaY97Dkj,spotify:track:4GKk1uNzpxIptBuaY97Dkj,https://api.spotify.com/v1/tracks/4GKk1uNzpxIptBuaY97Dkj,https://api.spotify.com/v1/audio-analysis/4GKk1uNzpxIptBuaY97Dkj,294667,4,Midnight,Coldplay,64,2016
0.81,0.719,5,-10.253,1,0.0519,0.165,1.68e-4,0.135,0.496,135.049,audio_features,67G84ZLTSoiRLmojkuBLzw,spotify:track:67G84ZLTSoiRLmojkuBLzw,https://api.spotify.com/v1/tracks/67G84ZLTSoiRLmojkuBLzw,https://api.spotify.com/v1/audio-analysis/67G84ZLTSoiRLmojkuBLzw,172067,4,Feel I Bring,Aer,0,2016
0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992,audio_features,5kqIPrATaCc2LqxVWzQGbk,spotify:track:5kqIPrATaCc2LqxVWzQGbk,https://api.spotify.com/v1/tracks/5kqIPrATaCc2LqxVWzQGbk,https://api.spotify.com/v1/audio-analysis/5kqIPrATaCc2LqxVWzQGbk,237300,4,7 Years,Lukas Graham,80,2016
0.867,0.646,1,-4.674,0,0.288,0.303,0,0.279,0.67,88.634,audio_features,6MdqqkQ8sSC0WB4i8PyRuQ,spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,https://api.spotify.com/v1/tracks/6MdqqkQ8sSC0WB4i8PyRuQ,https://api.spotify.com/v1/audio-analysis/6MdqqkQ8sSC0WB4i8PyRuQ,304600,4,No Diggity,Blackstreet,76,2016
0.534,0.721,11,-7.307,0,0.0417,0.0343,6.24e-6,0.115,0.225,128.978,audio_features,1UqhkbzB1kuFwt2iy4h29Q,spotify:track:1UqhkbzB1kuFwt2iy4h29Q,https://api.spotify.com/v1/tracks/1UqhkbzB1kuFwt2iy4h29Q,https://api.spotify.com/v1/audio-analysis/1UqhkbzB1kuFwt2iy4h29Q,249520,3,Cough Syrup,Young the Giant,72,2016
0.535,0.906,8,-5.332,1,0.32,0.00218,0,0.0955,0.675,174.142,audio_features,5SSPtaaL1GYcTeMxgAzR6E,spotify:track:5SSPtaaL1GYcTeMxgAzR6E,https://api.spotify.com/v1/tracks/5SSPtaaL1GYcTeMxgAzR6E,https://api.spotify.com/v1/audio-analysis/5SSPtaaL1GYcTeMxgAzR6E,248276,4,World Peace,Dizzy Wright,32,2016
0.466,0.496,1,-6.606,1,0.0302,0.626,6.22e-6,0.117,0.352,74.747,audio_features,2eiY8qXiV6yReXSeuoplns,spotify:track:2eiY8qXiV6yReXSeuoplns,https://api.spotify.com/v1/tracks/2eiY8qXiV6yReXSeuoplns,https://api.spotify.com/v1/audio-analysis/2eiY8qXiV6yReXSeuoplns,269893,4,All the Pretty Girls,KALEO,49,2016
0.359,0.648,3,-7.06,1,0.035,0.108,0.0135,0.0555,0.133,111.733,audio_features,1hxq7kWQnwdhxgpEugBMGk,spotify:track:1hxq7kWQnwdhxgpEugBMGk,https://api.spotify.com/v1/tracks/1hxq7kWQnwdhxgpEugBMGk,https://api.spotify.com/v1/audio-analysis/1hxq7kWQnwdhxgpEugBMGk,278373,4,Dirty Paws,Of Monsters and Men,55,2016
0.54,0.729,0,-3.709,1,0.0276,0.169,0,0.112,0.779,80.454,audio_features,5U1eDhGNl6uUQThJ4nBm7z,spotify:track:5U1eDhGNl6uUQThJ4nBm7z,https://api.spotify.com/v1/tracks/5U1eDhGNl6uUQThJ4nBm7z,https://api.spotify.com/v1/audio-analysis/5U1eDhGNl6uUQThJ4nBm7z,203653,4,Spirits,The Strumbellas,0,2016
0.694,0.872,10,-3.799,0,0.0297,0.00941,1.68e-5,0.0719,0.962,113.978,audio_features,1QCuVVP4KWHCjRGWTVT9mz,spotify:track:1QCuVVP4KWHCjRGWTVT9mz,https://api.spotify.com/v1/tracks/1QCuVVP4KWHCjRGWTVT9mz,https://api.spotify.com/v1/audio-analysis/1QCuVVP4KWHCjRGWTVT9mz,251000,4,Happiness Is Not A Place,The Wind and The Wave,0,2016
0.683,0.481,8,-9.174,0,0.075,0.191,0.736,0.0907,0.47,120.001,audio_features,7jZHUhAmW5oq1cq6s8IxmK,spotify:track:7jZHUhAmW5oq1cq6s8IxmK,https://api.spotify.com/v1/tracks/7jZHUhAmW5oq1cq6s8IxmK,https://api.spotify.com/v1/audio-analysis/7jZHUhAmW5oq1cq6s8IxmK,160000,4,Sun Models (feat. Madelyn Grant),ODESZA,66,2016
0.516,0.808,3,-6.326,0,0.124,7.67e-4,0,0.31,0.786,94.946,audio_features,4yvKqltUO2ogccevjmT5Yc,spotify:track:4yvKqltUO2ogccevjmT5Yc,https://api.spotify.com/v1/tracks/4yvKqltUO2ogccevjmT5Yc,https://api.spotify.com/v1/audio-analysis/4yvKqltUO2ogccevjmT5Yc,235240,4,Forever (Pt. II) (feat. Kaleem Taylor),Snakehips,45,2016
